asin,title,bucket,detection_signal,visible,price_count
"B000052464","DESTINY'S CHILD-Bug A Boo-CDS","confirmed_cd","title matches CD pattern, no vinyl keyword","false","1"
"B000057FA4","Ice Cube - Wicked - [CDS]","confirmed_cd","title matches CD pattern, no vinyl keyword","false","1"
"B00005PT9L","NOTORIOUS B.I.G.-Mo Money Mo Problems-CDS","confirmed_cd","title matches CD pattern, no vinyl keyword","false","2"
"B00005PZ2H","WALE-CRYING AT AIRPORTS -CDS-","confirmed_cd","title matches CD pattern, no vinyl keyword","false","1"
"B00005UDV7","SHAKIRA-Whenever Wherever-CDS","confirmed_cd","title matches CD pattern, no vinyl keyword","false","1"
"B003U43BP4","Bibi & Tina, Die ungarischen Reiter, 2 Audio-CDs","confirmed_cd","title matches CD pattern, no vinyl keyword","false","1"
"B00SGH8BH8","Jorge Ben Jor - Box 5 CDs - Alô Alô Jorge Ben Jor","confirmed_cd","title matches CD pattern, no vinyl keyword","true","3"
"B01L2F2Z5E","LCD soundsystem - I Can Change - 3 versions - cds - PROMOTIONAL ITEM -","confirmed_cd","title matches CD pattern, no vinyl keyword","false","2"
"B01MZ8H9IN","WALI Monitor LCD duplo extra alto, suporte de mesa totalmente ajustável para duas telas de até 68.6 cm, capacidade de peso de 10 kg por braço (M002XL), preto","confirmed_cd","title matches CD pattern, no vinyl keyword","true","2"
"B07PHH9D4X","Disturbed: Complete Studio Album Discography - 7 CDs + Bonus Art Card","confirmed_cd","title matches CD pattern, no vinyl keyword","true","3"
"B07PHM4453","Lynyrd Skynyrd: Complete 1970s Discography - The Ronnie Van Zant Years - 5 CDs: 'Leh-'nérd Skin-'nérd / Second Helping / Nuthin Fancy / Gimme Back My Bullets / Street Survivors","confirmed_cd","title matches CD pattern, no vinyl keyword","true","3"
"B07SFJNH3Y","Jonas Brothers: Studio Album Collection - 4 CDs (Self Titled / A Little Bit Longer / Lines, Vines and Trying Times / Happiness Begins)","confirmed_cd","title matches CD pattern, no vinyl keyword","true","3"
"B08M4Y1M56","Dua Lipa - Future Nostalgia Bonus Edition [2 CDs]","confirmed_cd","title matches CD pattern, no vinyl keyword","true","3"
"B097NL9D85","Box Metallica - The Metallica Blacklist 4 CDs","confirmed_cd","title matches CD pattern, no vinyl keyword","true","39"
"B0B7L62RD8","( Weverse Ver. ) NEWJEANS NEW JEANS 1st EP Album( Not Audio CD!! ) K-POP SEALED","confirmed_cd","title matches CD pattern, no vinyl keyword","true","5"
"B0CZL9T1SR","Billy Joel The Broadcast Collection 1972-1977. 3 CDs.","confirmed_cd","title matches CD pattern, no vinyl keyword","true","4"
"B0DF9R9DWP","Voodoo Circle - Hail to the King [2 CDs Ed. Limitada Hard Rock]","confirmed_cd","title matches CD pattern, no vinyl keyword","true","497"
"B0DW9J79PD","Vultures 1 - Carnival Edition - 2 x 7-inch + CD","confirmed_cd","title matches CD pattern, no vinyl keyword","true","3"
"B0F68PR8RT","Led Zeppelin Ultimate Albums Deluxe Collection (Physical Graffiti / Houses of the Holy / Mothership) [CD]","confirmed_cd","title matches CD pattern, no vinyl keyword","true","5"
"B0GZ4HRG1Z","Adaptador de Áudio com Conector 3 5mm Cabo Substituição do Tocador CDs para SX4 Grand Vitara 2007-2010 Clarion Radio","confirmed_cd","title matches CD pattern, no vinyl keyword","true","2"
"B07PZX92Y7","25th Anniversary Live In Amsterdam (Ltd. 2LP+CD) [Disco de Vinil]","suspect","title has both CD and vinyl signals (likely bundle)","true","4"
"B00007KK7V","100th Window","confirmed_cd","manually confirmed by site owner (silent CD, no title signal)","true","38"
"B009E3EY38","Celebration Day","confirmed_cd","manually confirmed by site owner (silent CD, no title signal)","true","40"
"B08X65NPTP","Justice [Edited]","confirmed_cd","manually confirmed by site owner (silent CD, no title signal)","true","41"
