asin,seed_key,status,old_category,new_category,titulo,old_tags,new_tags
B01IY4NT4W,label:Ship to Shore,pending,game,,Mother 2 (Original Soundtrack) [Disco de Vinil],,
B0FLNQR411,title:Bastion,pending,game,,Im Schatten der Bastion (Lp) [VINYL],,
B094L58XTQ,title:Bastion,pending,game,,The Last Bastion,,
B07N3S5PMK,title:Bastion,pending,game,,Jean Charles Bastion And Laurent - Paris Is Us [Disco de Vinil],,
B0D7PJXFHX,title:Bastion,tagged,game,,Bastion [VINYL],"folk, soundtrack, game","folk, soundtrack"
B0FFV87MN9,label:Mondo,tagged,movie,,Jaws 50th Anniversary (Original Soundtrack),"soundtrack, classical, composers","soundtrack, classical, composers"
B0GN2NNB1S,title:Diablo,pending,game,,Matt Uelmen Diablo 2 II Resurrected Red With Black Printing 3LP Vinyl Box Set (Blizz Variant),,
B000Z8C2X0,title:Diablo,pending,game,,4-Way Diablo [Vinyl],,
B00004ZDKQ,title:Diablo,pending,game,,El Diablo [Vinyl],,
B00004Y0H5,title:Diablo,pending,game,,"Diablo [12"" VINYL]",,
B0011U5F0I,title:Diablo,pending,game,,Diablo Roto De [Vinyl] [Disco de Vinil],,
B00079QXLY,title:Diablo,pending,game,,Diablo [Vinyl],,
B06XCPTWBS,title:Diablo,pending,game,,Diablo Con Amor Adios (Blue Vinyl),,
B003YCM00O,title:Diablo,pending,game,,"Diablo Riddim Ep [12"" VINYL] [Disco de Vinil]",,
B00009KTIX,title:Diablo,pending,game,,"Casa Del Diablo [12"" VINYL]",,
B000LPRDKE,title:Diablo,pending,game,,Spintal Tap/Diablo [Vinyl] [Disco de Vinil],,
B0D54JM3NP,title:Diablo,pending,game,,Fiebre: Con El Diablo En El Cuerpo - Transparent Orange Colored Vinyl,,
B09L9H1533,title:Diablo,pending,game,,Diablo II - Resurrected - Exclusive Limited Edition Red and Black Marble Colored Vinyl LP,,
B08PDR1XK2,title:Diablo,pending,game,,El Diablo [Disco de Vinil],,
B000EDRF2E,title:Diablo,pending,game,,Diablo Roto De (Limited/Numbered) [Disco de Vinil],,
B0CL14CSMF,title:Diablo,pending,game,,CD PACTO CON EL DIABLO (IMPORTADO),,
B07HSKMMY4,title:Diablo,pending,game,,El Diablo Is Back! [Disco de Vinil],,
B00E6S7KH8,title:Diablo,pending,game,,Obladi Diablo [Disco de Vinil],,
B08JF65DX3,title:Diablo,pending,game,,El Diablo Rojo [Disco de Vinil],,
B06Y435FB2,title:Diablo,pending,game,,Rock N'roll Diablo [Disco de Vinil],,
B000091ZSI,title:Diablo,pending,game,,Diablo,,
B0BL64GG63,title:World of Warcraft,pending,game,,Diablo II Resurrected Exclusive Deluxe Red Black & Milky Clear & Black Colored Vinyl Box Set 3LP,,
B004BBWNVI,title:EarthBound,pending,game,,Earthbound,,
B09TXSLR6F,title:EarthBound,pending,game,,John Carpenter Lost Themes III: Alive After Death Red- Black- and White Merge Exclusive LP Clyde Mandelin Legends of Localization Book 2: Earthbound,,
B016LLWH7K,title:EarthBound,pending,game,,Earthbound Blues [Disco de Vinil],,
B085RSFDV5,title:EarthBound,pending,game,,Earthbound [Disco de Vinil],,
B00Q5156JI,title:EarthBound,pending,game,,earthbound LP,,
B0000594Z4,title:EarthBound,pending,game,,Earthbound,,
B082PRBMV4,title:EarthBound,pending,game,,Mother Fucking Earthbound [Disco de Vinil],,
B0FFTNG9S2,title:EarthBound,tagged,game,,Earthbound,"electrotango, tango, chillout, soundtrack, game","electrotango, tango, chillout, soundtrack"
B0B97XC63P,title:EarthBound,tagged,game,,EARTHBOUND,"doom metal, sludge metal, doom, soundtrack, game","doom metal, sludge metal, doom, soundtrack"
B096TN8DLB,title:Your Name,tagged,anime,,The Shape of Your Name - Deluxe Reissue (BLUE VINYL) [Disco de Vinil],"soundtrack, anime",soundtrack
B09B54Z2T3,title:Your Name,tagged,anime,,Burn Everything That Bears Your Name [Disco de Vinil],"soundtrack, anime",soundtrack
B0057O6DZU,title:Your Name,pending,anime,,"Sign Your Name 7 Inch (7"" Vinyl 45) UK Cbs 1987",,
B000OZ2BE4,title:Your Name,pending,anime,,Scratch Your Name [Vinyl],,
B004156ZEK,title:Your Name,pending,anime,,gotta know (your name) [Vinyl] MALAIKA,,
B000091NGD,title:Your Name,pending,anime,,I call your name (1990) / Vinyl Maxi Single [Vinyl 12''],,
B0000706K2,title:Your Name,pending,anime,,What's your name (time of the season) / Vinyl Maxi Single [Vinyl 12''],,
B00004XV15,title:Your Name,pending,anime,,"SHE CRIES YOUR NAME 10 INCH (10"" VINYL) UK HEAVENLY 1996",,
B00004ZUD9,title:Your Name,pending,anime,,"What's your name? (5 versions, 2000) / Vinyl Maxi Single [Vinyl 12'']",,
B00413CBUY,title:Your Name,pending,anime,,what's your name? [Vinyl] STYLISTICS,,
B00410OJLG,title:Your Name,pending,anime,,"what's your name, what's your number [Vinyl] ANDREA TRUE CONNECTION",,
B000057MB8,title:Your Name,pending,anime,,Alison Moyet - Whispering Your Name - 12 inch vinyl,,
B01NCHEKIK,title:Your Name,pending,anime,,I Called Your Name (Colored Vinyl) [Disco de Vinil],,
B00412XQZE,title:Your Name,pending,anime,,what's your name (time of the season) [Vinyl] FROST,,
B0041390DU,title:Your Name,pending,anime,,i almost called your name [Vinyl] MARGARET WHITING,,
B004130R00,title:Your Name,pending,anime,,if i never knew your name [Vinyl] VIC DANA,,
B000092IU7,title:Your Name,pending,anime,,I call your name,,
B00414M15I,title:Your Name,pending,anime,,what's your name / lavender blue [Vinyl] DON & JUAN / SAMMY TURNER,,
B00412VXR2,title:Your Name,pending,anime,,what's your name / i want a boyfriend [Vinyl] DON & JUAN / BONNIE & CLYDE,,
B001GP68BS,title:Your Name,pending,anime,,sweet misery / when somebody mentions your name 45 rpm single [Vinyl] Jimmy Dean,,
B096HWZ9MS,title:Your Name,pending,anime,,Call Me By Your Name (Limited Countryside Green Vinyl) [Disco de Vinil],,
B006GVN1Q2,title:Your Name,pending,anime,,Death Knows Your Name [Disco de Vinil],,
B00005LUY0,title:Your Name,pending,anime,,when the world knows your name LP,,
B01N2I1LB7,title:Your Name,pending,anime,,I Called Your Name [Disco de Vinil],,
B009DJB6VQ,title:Your Name,pending,anime,,What's Your Name/Eleven Eleven [Disco de Vinil],,
B0DGHZGJMD,title:Your Name,pending,anime,,LP CALL ME BY YOUR NAME (IMPORTADO) (DUPLO),,
