asin,estrato,artista,titulo,tags_atuais,estilo,mb_genres,price_count,verdict,tags_certas,nota
B0CDCK2NP3,populares,Nas,MAGIC 2,"hip-hop, rap, east coast rap",,"hip hop, boom bap, jazz rap",51,ok,"hip-hop, rap, east coast rap",artist and record agree
B0H4X51MYB,populares,Angine De Poitrine,Angine De Poitrine: Complete Vinyl Discography - Vol 1 & 2,"math rock, progressive rock, experimental",,,33,,,
B0FDFT512T,populares,The Lemonheads,Love Chant,"alternative rock, alternative, indie",,"indie rock, slacker rock, laut.de",28,ok,"alternative rock, alternative, indie",
B00UHQ7CLC,populares,Muse,Drones [Disco de Vinil],"alternative rock, rock, progressive rock",,"political, rock, pop",264,ok,"alternative rock, rock, progressive rock",
B0884CJMY8,populares,Lastlings,First Contact [LP],"electronic, pop, indie",,electronic,139,,,
B085DSR4HZ,populares,Willow,WILLOW [Purple LP],"rnb, pop, alternative",,"rock, folk rock, soft rock",142,,,
B0CRWLMCBF,populares,Jonas Brothers,FAMILY BUSINESS (CLEAR VINYL/2LP),"pop, pop rock, disney",,"rock, pop",313,,,
B0F9VFPDSK,populares,SnohAalegra(singer-Songwriter),"Ugh, Those Feels Again Special Edition Clear ( VERY RARE & HARD TO FIND! )",singer-songwriter,,,23,,,
B0FB9KJNWK,populares,Thin Lizzy,Live And Dangerous (Metallic Silver Vinyl/Limited Edition),"hard rock, classic rock, rock",,"rock, heavy metal, hard rock",29,,,
B0195SDSEW,populares,Max Richter,Songs from Before [Disco de Vinil],"ambient, contemporary classical, neoclassical",,"electronic, classical, modern classical",29,,,
B0C6FNWZP6,populares,Steve Lacy,STRAIGHT HORN OF STEVE LACY (180G),"free jazz, jazz, rnb",,jazz,29,,,
B0C8LTCSGS,populares,Blur,Magic Whip [Import] (Canada - Import),"britpop, rock, indie",,,813,,,
B0CNBZYH42,populares,Il Divo,Il Divo: XX - 20th Anniversary Album,"classical, opera",,,442,,,
B0G4B2M6QF,populares,Madness,Madness - Hit Parade - Vinyl LP - RSD 2025,"ska, new wave",,,147,,,
B00000JFBL,populares,AFI,Black Sails In The Sunset,"punk rock, punk, alternative",,"rock, hardcore, punk",391,,,
B0FR9TYVNZ,populares,Engenheiros do Hawaii,LP ACÚSTICO NOVOS HORIZONTES (DUPLO) (NACIONAL),"rock, brazilian rock, rock gaucho",,"rock, pop, pop rock",25,,,
B01M3X5UMM,populares,Drake & Future,Drake & Future: What A Time To Be Alive Vinyl LP,"hip-hop, rap",,"electronic, hip-hop, hip hop",39,,,
B088GGFJ74,populares,The Kinks,Transmissions 1964 - 1968 (Lp) [Vinyl LP] [VINYL],"classic rock, rock",,,93,,,
B0DJ4HMMHK,populares,Teddy Swims,I've Tried Everything But Therapy (Part 2) (Amazon Exclusive),"soul, singer-songwriter, pop",,"pop, soul, pop soul",509,,,
B01MSD312H,populares,Mac Demarco,This Old Dog [Disco de Vinil],"lo-fi, indie, post-punk",,"rock, singer-songwriter, indie rock",634,,,
B08N9DP5HR,populares,Steve Earle & The Dukes,J.T. [Disco de Vinil],singer-songwriter,,"rock, folk, country",27,,,
B0F22SVZDK,populares,Good Charlotte,Good Charlotte,"punk rock, pop punk, rock",,"punk rock, pop punk, punk-pop",355,,,
B0CJ9WKSTF,populares,Movements,No Good Left To Give[LP],"post-hardcore, emo, indie rock",,"rock, emo, post-hardcore",184,,,
B09VFFM462,populares,Lea Sen,YOU OF NOW PT. 1 (TRANSLUCENT BLUE VINYL),singer-songwriter,,,726,,,
B07TJKC24W,populares,Chuck Berry,Very Good: 20 Greatest Rock & Roll Hits [Limited 180-Gram Vinyl] [Disco de Vinil],"rock and roll, classic rock, blues",,,33,,,
B000000YGT,populares,Thelonious Monk/ Gerry Mulliga,Mulligan Meets Monk [Disco de Vinil],jazz,,,72,,,
B0FKBS68QY,populares,Dean Martin,Greatest Hits - Limited 180-Gram Red Colored Vinyl,"jazz, swing, easy listening",,,27,,,
B0CT8D8Z61,populares,Frank Turner,UNDEFEATED,"folk, singer-songwriter, acoustic",,"offizielle charts, 1–4 wochen",398,,,
B07KZHBPHN,populares,Death Becomes Her,Death Becomes Her [Disco de Vinil],rock,,,285,,,
B00B8ZOXFY,populares,The Besnard Lakes,Until in Excess Imperceptible UFO [Disco de Vinil],"shoegaze, indie rock, post-rock",,"rock, post-rock, shoegaze",73,,,
B0GL919JQ7,populares,Sevendust,"Truth Killer Exclusive Yellow Vinyl LP, Sevendust","alternative metal, nu metal, metal",,"rock, alternative rock, heavy metal",25,,,
B09C4GBY8Q,populares,Circuit des Yeux,-io [Disco de Vinil],"experimental, avant-garde, lo-fi",,"rock, electronic, experimental",302,,,
B01C807M46,populares,Needtobreathe,Daylight [Disco de Vinil],"singer-songwriter, country, folk",,"rock, alternative rock",182,,,
